epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,209.657,0.8659,0.47248,0.99157,0.98658,0.9864,0.99389,0.78723,0.82952,0.42171,0.9731,0.0096337,0.0096337,0.0096337
76,212.44,0.84632,0.47003,0.99379,0.99358,0.97484,0.99122,0.77502,0.8551,0.43525,0.98411,0.00962875,0.00962875,0.00962875
77,215.141,0.84792,0.46599,0.98296,0.9955,0.9805,0.99389,0.77765,0.85657,0.47681,0.9908,0.0096238,0.0096238,0.0096238
78,217.929,0.84804,0.46474,0.98417,0.97594,0.99267,0.98974,0.79278,0.81349,0.43537,0.97436,0.00961885,0.00961885,0.00961885
79,220.79,0.84354,0.46885,0.98919,0.98834,0.98494,0.99361,0.8012,0.78908,0.4132,0.95795,0.0096139,0.0096139,0.0096139
80,223.732,0.84999,0.46693,0.99225,0.99448,0.99559,0.99448,0.79351,0.78874,0.40459,0.9591,0.00960895,0.00960895,0.00960895
81,226.605,0.8263,0.46283,0.99201,0.97366,0.97953,0.99057,0.77051,0.87628,0.48528,1.0064,0.009604,0.009604,0.009604
82,229.436,0.84986,0.45898,0.98675,0.97959,0.98958,0.99458,0.79541,0.8207,0.40726,0.97989,0.00959905,0.00959905,0.00959905
83,232.06,0.81943,0.45407,0.98453,0.98,0.94365,0.99173,0.77487,0.8665,0.44557,0.99769,0.0095941,0.0095941,0.0095941
84,234.921,0.85232,0.4658,1.00237,0.96252,0.94092,0.98732,0.77622,0.89828,0.46624,1.0154,0.00958915,0.00958915,0.00958915
85,237.656,0.83104,0.45569,0.98643,0.99095,0.99828,0.99489,0.78225,0.8127,0.3861,0.98271,0.0095842,0.0095842,0.0095842
86,240.421,0.83155,0.44202,0.99201,0.99227,0.98932,0.99406,0.78857,0.81423,0.37765,0.97015,0.00957925,0.00957925,0.00957925
87,243.264,0.83187,0.45294,0.99027,0.98227,0.9818,0.98793,0.77731,0.83167,0.42688,0.98889,0.0095743,0.0095743,0.0095743
88,245.917,0.83498,0.45357,0.99545,0.9848,0.99277,0.99226,0.78615,0.85856,0.39347,0.99062,0.00956935,0.00956935,0.00956935
89,248.543,0.83406,0.45506,0.98943,0.9789,0.97205,0.98815,0.77235,0.83988,0.50368,0.99153,0.0095644,0.0095644,0.0095644
90,251.164,0.81877,0.45312,0.98444,0.98597,0.97695,0.98901,0.76952,0.83165,0.42916,0.99929,0.00955945,0.00955945,0.00955945
