epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,199.362,0.811,0.48137,0.99816,0.99402,1,0.99496,0.78456,0.83144,0.39321,0.973,0.00951985,0.00951985,0.00951985
99,201.442,0.82633,0.49642,1.0037,0.99743,1,0.995,0.79208,0.80921,0.38554,0.97202,0.0095149,0.0095149,0.0095149
100,203.48,0.80005,0.47098,0.98225,0.99762,1,0.995,0.79535,0.80261,0.38752,0.97516,0.00950995,0.00950995,0.00950995
101,205.46,0.80783,0.48576,0.99732,0.99365,0.99813,0.995,0.78674,0.80968,0.38526,0.98021,0.009505,0.009505,0.009505
102,207.463,0.79243,0.46711,0.99117,0.9877,0.99559,0.99478,0.79993,0.77783,0.38622,0.96231,0.00950005,0.00950005,0.00950005
103,209.467,0.79341,0.47274,0.98974,0.98933,0.99316,0.99482,0.80433,0.76664,0.41724,0.96728,0.0094951,0.0094951,0.0094951
104,211.469,0.81098,0.47802,1.00131,0.99294,0.99157,0.99482,0.79551,0.78676,0.41413,0.97387,0.00949015,0.00949015,0.00949015
105,213.496,0.81182,0.4772,0.99369,0.99495,0.99703,0.99475,0.80014,0.76019,0.41064,0.95647,0.0094852,0.0094852,0.0094852
106,215.501,0.79843,0.46363,0.98665,0.98747,0.99934,0.9941,0.80731,0.75436,0.37734,0.95412,0.00948025,0.00948025,0.00948025
107,217.513,0.80464,0.48361,0.99882,0.991,0.99029,0.99304,0.7949,0.76628,0.41641,0.96491,0.0094753,0.0094753,0.0094753
108,219.603,0.79534,0.46934,1.00478,0.98955,0.99634,0.99296,0.80261,0.77169,0.388,0.97113,0.00947035,0.00947035,0.00947035
109,221.654,0.79885,0.46116,0.98506,0.98797,0.98861,0.99467,0.80498,0.76729,0.38602,0.96335,0.0094654,0.0094654,0.0094654
110,223.676,0.79414,0.47565,0.98384,0.99531,0.98612,0.99424,0.79134,0.76831,0.40588,0.96274,0.00946045,0.00946045,0.00946045
111,225.694,0.80328,0.47949,0.99512,0.98848,0.98303,0.99413,0.80563,0.75471,0.40129,0.95758,0.0094555,0.0094555,0.0094555
112,227.886,0.79881,0.4715,0.99301,0.99579,0.98704,0.995,0.81333,0.74241,0.38261,0.9445,0.00945055,0.00945055,0.00945055
113,229.887,0.7988,0.4725,0.99063,0.99814,0.99771,0.995,0.8037,0.755,0.38285,0.95588,0.0094456,0.0094456,0.0094456
114,231.932,0.8021,0.4744,0.99972,0.99858,1,0.995,0.80013,0.7873,0.37167,0.97294,0.00944065,0.00944065,0.00944065
115,233.986,0.81314,0.4651,1.01537,0.99565,1,0.995,0.79953,0.78735,0.37712,0.9714,0.0094357,0.0094357,0.0094357
116,236.066,0.79696,0.45388,0.98965,0.99489,0.99634,0.99493,0.80493,0.76463,0.36875,0.95042,0.00943075,0.00943075,0.00943075
117,238.14,0.81782,0.4541,0.99613,0.99057,0.99634,0.99392,0.80025,0.7639,0.37249,0.95288,0.0094258,0.0094258,0.0094258
